n,lambda,phi,eps,gamma,theta_rough,offset,mpn,traj_mpn,detected_mpn,1,11,101,111,1101,1011,1001,1111,11001,10011,10001,11011,11101,10111,11111,110001,100011,100001,110011,110101,101011,110111,111011,111001,100111,111101,101111,111111
1000000,0.8,0.7853981633974483,0.05,2.1,0.1990890890890891,0.004265795188015926,6.738598343835586e-05,4.81142231657956e-05,4.8114223165795604e-05,13,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000,0.8,0.7853981633974483,0.05,2.1,0.19926926926926927,0.004265795188015926,7.483017839187491e-05,7.417609404726821e-05,7.417609404726821e-05,15,3,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1000000,0.8,0.7853981633974483,0.05,2.1,0.2002102102102102,0.004265795188015926,0.00012006340150308911,0.00011427128001876454,0.00011427128001876454,26,5,2,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000,0.8,0.7853981633974483,0.05,2.1,0.19992992992992992,0.004265795188015926,0.00010547294094342402,9.62284463315912e-05,9.622844633159118e-05,23,2,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000,0.8,0.7853981633974483,0.05,2.1,0.20073073073073072,0.004265795188015926,0.00014967651831974477,0.0001563712252888357,0.0001403331509002371,17,7,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1000000,0.8,0.7853981633974483,0.05,2.1,0.1984084084084084,0.004265795188015926,4.279024017519179e-05,5.412850106152005e-05,3.809042667292152e-05,5,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000,0.8,0.7853981633974483,0.05,2.1,0.19986986986986988,0.004265795188015926,0.00010246974449208663,7.618085334584304e-05,7.618085334584304e-05,15,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1000000,0.8,0.7853981633974483,0.05,2.1,0.19838838838838838,0.004265795188015926,4.2151207101765055e-05,5.6133260360094865e-05,5.613326036009487e-05,11,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000,0.8,0.7853981633974483,0.05,2.1,0.1986086086086086,0.004265795188015926,4.944563502739353e-05,8.820940913729193e-05,8.820940913729194e-05,7,4,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1000000,0.8,0.7853981633974483,0.05,2.1,0.2006106106106106,0.004265795188015926,0.00014255221025188765,0.0001583759845874105,0.00014233791019881194,24,7,0,4,0,1,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1000000,0.8,0.7853981633974483,0.05,2.1,0.20057057057057057,0.004265795188015926,0.00014021618565839244,0.0001583759845874105,0.00013231411370593786,16,9,0,4,0,1,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
