n,lambda,phi,eps,gamma,theta_rough,offset,mpn,traj_mpn,detected_mpn,1,11,101,111,1101,1011,1001,1111,11001,10011,10001,11011,11101,10111,11111,110001,100011,100001,110011,110101,101011,110111,111011,111001,100111,111101,101111,111111
100000,0.8,0.7853981633974483,1,2.5,0.2,0.05623413251903491,0.019115322426836872,0.01988019880198802,0.016900169001690182,512,168,4,93,18,15,1,56,3,1,1,1,1,3,6,0,1,0,0,0,0,3,1,1,2,5,2,16
100000,0.8,0.7853981633974483,1,2.5,0.2,0.05623413251903491,0.019115322426836872,0.01984019840198402,0.017760177601776193,536,182,8,115,17,16,3,59,2,0,2,2,0,2,5,1,0,0,0,0,0,2,3,0,0,6,1,10
100000,0.8,0.7853981633974483,1,2.5,0.2,0.05623413251903491,0.019115322426836872,0.01989019890198902,0.0182201822018222,592,166,8,103,18,8,0,70,3,3,0,1,1,4,3,1,3,1,0,0,0,3,2,2,0,3,0,16
100000,0.8,0.7853981633974483,1,2.5,0.2,0.05623413251903491,0.019115322426836872,0.01926019260192602,0.01751017510175119,556,176,6,96,19,15,1,49,3,2,1,1,1,2,3,3,4,1,0,1,0,3,3,1,1,1,1,20
100000,0.8,0.7853981633974483,1,2.5,0.2,0.05623413251903491,0.019115322426836872,0.01942019420194202,0.017260172601726187,518,149,12,115,14,11,1,51,5,1,2,0,2,4,9,2,1,2,0,0,0,3,0,0,0,7,2,16
100000,0.8,0.7853981633974483,1,2.5,0.2,0.05623413251903491,0.019115322426836872,0.01945019450194502,0.017250172501725187,562,161,10,118,15,10,2,45,2,2,2,2,3,5,4,1,0,0,0,0,0,7,0,0,0,2,0,14
100000,0.8,0.7853981633974483,1,2.5,0.2,0.05623413251903491,0.019115322426836872,0.01948019480194802,0.01685016850168518,505,155,8,106,15,8,0,57,4,1,1,2,2,3,4,1,1,0,1,1,0,1,5,3,2,3,1,15
100000,0.8,0.7853981633974483,1,2.5,0.2,0.05623413251903491,0.019115322426836872,0.01943019430194302,0.017290172901729187,522,173,7,109,24,21,3,49,3,3,0,0,0,2,6,1,2,0,0,1,0,2,0,1,0,1,1,15
100000,0.8,0.7853981633974483,1,2.5,0.2,0.05623413251903491,0.019115322426836872,0.02029020290202902,0.017950179501795196,565,167,8,92,16,17,1,65,5,1,2,0,2,1,6,1,4,2,0,0,0,1,2,1,1,5,2,17
100000,0.8,0.7853981633974483,1,2.5,0.2,0.05623413251903491,0.019115322426836872,0.01999019990199902,0.017800178001780194,530,147,6,123,22,15,1,65,4,1,1,1,2,6,3,1,0,0,0,0,0,4,2,1,3,4,1,10
100000,0.8,0.7853981633974483,1,2.5,0.2,0.05623413251903491,0.019115322426836872,0.01845018450184502,0.016930169301693183,529,152,8,107,21,11,1,51,3,0,2,1,2,3,4,2,0,0,0,0,0,3,3,3,0,3,1,16
100000,0.8,0.7853981633974483,1,2.5,0.2,0.05623413251903491,0.019115322426836872,0.01882018820188202,0.016530165301653178,503,161,3,98,18,9,1,52,2,1,1,2,1,1,5,1,2,2,1,0,0,3,0,0,1,1,0,24
100000,0.8,0.7853981633974483,1,2.5,0.2,0.05623413251903491,0.019115322426836872,0.01914019140191402,0.017210172101721186,499,167,7,114,26,9,1,50,4,2,3,3,5,3,4,1,0,0,0,0,0,5,0,3,0,4,1,12
100000,0.8,0.7853981633974483,1,2.5,0.2,0.05623413251903491,0.019115322426836872,0.017240172401724017,0.01593015930159317,536,166,15,101,12,7,0,53,3,0,0,0,1,1,7,2,2,0,0,0,0,1,2,1,0,1,1,5
100000,0.8,0.7853981633974483,1,2.5,0.2,0.05623413251903491,0.019115322426836872,0.01765017650176502,0.016350163501635175,520,160,8,97,20,7,2,45,5,2,0,0,5,2,3,2,0,2,0,1,0,2,4,3,0,4,1,13
100000,0.8,0.7853981633974483,1,2.5,0.2,0.05623413251903491,0.019115322426836872,0.01792017920179202,0.01665016650166518,548,177,9,104,12,11,1,43,3,3,0,0,1,4,5,2,0,1,0,0,0,2,3,0,0,7,1,9
100000,0.8,0.7853981633974483,1,2.5,0.2,0.05623413251903491,0.019115322426836872,0.018660186601866018,0.016500165001650177,548,168,8,101,13,7,1,49,4,1,1,1,1,2,4,1,1,1,0,0,0,4,3,0,0,3,0,13
100000,0.8,0.7853981633974483,1,2.5,0.2,0.05623413251903491,0.019115322426836872,0.01913019130191302,0.017150171501715186,555,165,10,101,20,11,3,45,3,7,1,1,3,1,6,2,0,1,0,0,0,2,1,2,0,4,1,15
100000,0.8,0.7853981633974483,1,2.5,0.2,0.05623413251903491,0.019115322426836872,0.01992019920199202,0.017930179301793196,546,169,7,117,17,12,3,45,2,1,0,0,4,2,8,0,0,1,0,1,0,2,4,2,1,6,0,20
100000,0.8,0.7853981633974483,1,2.5,0.2,0.05623413251903491,0.019115322426836872,0.018070180701807017,0.01680016800168018,539,138,3,104,21,13,0,56,4,1,1,0,3,2,3,0,0,1,0,0,0,4,6,2,0,4,1,14
100000,0.8,0.7853981633974483,1,2.5,0.2,0.05623413251903491,0.019115322426836872,0.01846018460184602,0.016880168801688182,557,166,7,102,18,7,1,43,4,2,2,0,3,3,5,0,3,2,1,0,0,9,5,1,2,0,0,10
100000,0.8,0.7853981633974483,1,2.5,0.2,0.05623413251903491,0.019115322426836872,0.01798017980179802,0.016260162601626174,541,163,4,85,14,13,1,63,3,4,2,0,3,2,1,0,0,0,0,0,0,2,3,2,0,3,3,8
100000,0.8,0.7853981633974483,1,2.5,0.2,0.05623413251903491,0.019115322426836872,0.018950189501895018,0.01671016710167118,532,145,8,104,18,11,1,58,2,1,0,2,1,1,8,0,0,1,0,0,0,2,5,1,0,1,1,14
100000,0.8,0.7853981633974483,1,2.5,0.2,0.05623413251903491,0.019115322426836872,0.01901019010190102,0.016580165801658178,503,161,4,101,18,13,1,41,3,3,2,0,3,2,5,1,0,2,0,0,0,6,4,4,1,0,1,19
100000,0.8,0.7853981633974483,1,2.5,0.2,0.05623413251903491,0.019115322426836872,0.01911019110191102,0.017260172601726187,521,179,11,119,23,12,1,47,2,1,0,1,2,2,5,1,1,0,0,0,0,2,4,1,1,2,1,10
100000,0.8,0.7853981633974483,1,2.5,0.2,0.05623413251903491,0.019115322426836872,0.01928019280192802,0.016350163501635175,559,149,5,120,16,6,0,39,3,0,1,0,0,4,13,0,2,0,0,2,0,2,1,1,1,2,1,7
100000,0.8,0.7853981633974483,1,2.5,0.2,0.05623413251903491,0.019115322426836872,0.01849018490184902,0.016110161101611172,505,159,7,90,12,13,1,54,2,1,0,0,2,4,7,2,1,1,0,0,0,0,2,2,0,2,4,14
100000,0.8,0.7853981633974483,1,2.5,0.2,0.05623413251903491,0.019115322426836872,0.02024020240202402,0.017690176901769192,490,156,7,128,22,12,2,59,5,0,2,1,2,1,5,2,2,1,0,0,0,3,2,1,1,4,2,15
100000,0.8,0.7853981633974483,1,2.5,0.2,0.05623413251903491,0.019115322426836872,0.02001020010200102,0.017800178001780194,555,171,7,115,21,7,0,53,7,2,1,1,4,3,3,0,0,0,1,0,0,6,2,0,0,5,1,13
100000,0.8,0.7853981633974483,1,2.5,0.2,0.05623413251903491,0.019115322426836872,0.01905019050190502,0.01667016670166718,544,156,13,103,18,7,1,44,1,2,1,1,1,4,6,1,0,2,0,0,0,3,2,1,1,2,0,18
100000,0.8,0.7853981633974483,1,2.5,0.2,0.05623413251903491,0.019115322426836872,0.02048020480204802,0.017700177001770193,558,165,8,93,26,11,1,57,1,1,1,0,1,2,10,1,1,4,1,1,0,2,1,3,0,5,0,17
100000,0.8,0.7853981633974483,1,2.5,0.2,0.05623413251903491,0.019115322426836872,0.01910019100191002,0.017340173401734188,523,167,8,108,20,13,1,60,2,1,2,0,2,7,11,2,1,0,0,0,0,1,3,0,1,1,0,9
