n,lmbd,phi,eps,theta_rough,offset,mpn,traj_mpn,detected_mpn,1,11,101,111,1101,1111,11001,11011,11101,11111,110001,110011,110101,110111,111001,111011,111101,111111
100000,0.8,0.7853981633974483,0.1,0.20417085427135678,0.0316227766016838,0.007782808838029437,0.00821901781274679,0.0068881804089034795,149,45,1,37,1,17,1,0,1,4,1,0,0,0,0,0,0,3
100000,0.8,0.7853981633974483,0.1,0.20417085427135678,0.0316227766016838,0.007782808838029437,0.007868027728216678,0.006902804995758894,141,44,4,36,2,9,1,0,0,3,0,0,0,2,1,0,1,8
100000,0.8,0.7853981633974483,0.1,0.20417085427135678,0.0316227766016838,0.007782808838029437,0.008131270291614262,0.007034426277457697,176,43,3,26,1,23,0,0,0,1,0,0,0,1,0,0,0,5
100000,0.8,0.7853981633974483,0.1,0.20417085427135678,0.0316227766016838,0.007782808838029437,0.007195296732867297,0.006361695282108301,141,35,1,33,4,14,0,0,0,2,0,0,0,2,0,0,1,5
100000,0.8,0.7853981633974483,0.1,0.20417085427135678,0.0316227766016838,0.007782808838029437,0.007868027728216678,0.0069028049957589035,171,50,2,30,8,9,0,0,0,0,0,0,0,0,0,0,1,7
100000,0.8,0.7853981633974483,0.1,0.20417085427135678,0.0316227766016838,0.007782808838029437,0.008453011202433532,0.007356167188276964,172,47,2,32,10,8,1,0,1,5,0,0,0,1,0,3,1,3
100000,0.8,0.7853981633974483,0.1,0.20417085427135678,0.0316227766016838,0.007782808838029437,0.007838778554505835,0.007019801690602274,159,49,1,35,3,16,0,0,0,3,0,0,0,0,0,2,0,3
100000,0.8,0.7853981633974483,0.1,0.20417085427135678,0.0316227766016838,0.007782808838029437,0.00833601450759016,0.006873555822048064,163,55,4,36,4,10,2,0,0,0,0,0,0,0,0,1,0,3
100000,0.8,0.7853981633974483,0.1,0.20417085427135678,0.0316227766016838,0.007782808838029437,0.008028898183626313,0.006668811606072165,161,51,1,32,5,15,1,0,0,1,0,0,0,0,0,0,0,2
100000,0.8,0.7853981633974483,0.1,0.20417085427135678,0.0316227766016838,0.007782808838029437,0.00734154260142151,0.006785808300915529,158,45,3,35,3,12,0,0,0,4,0,0,0,1,0,0,1,3
100000,0.8,0.7853981633974483,0.1,0.20417085427135678,0.0316227766016838,0.007782808838029437,0.008160519465325105,0.00666881160607216,161,43,2,32,3,13,1,0,0,1,0,0,2,2,0,1,1,2
100000,0.8,0.7853981633974483,0.1,0.20417085427135678,0.0316227766016838,0.007782808838029437,0.008145894878469683,0.006888180408903484,156,46,2,35,7,17,0,0,0,0,1,0,0,2,0,0,0,2
100000,0.8,0.7853981633974483,0.1,0.20417085427135678,0.0316227766016838,0.007782808838029437,0.007838778554505835,0.0068150574746263706,158,38,1,37,4,14,0,0,0,1,0,0,0,0,2,1,3,3
100000,0.8,0.7853981633974483,0.1,0.20417085427135678,0.0316227766016838,0.007782808838029437,0.008043522770481733,0.0074146655356986555,174,55,0,38,6,14,1,0,0,2,0,0,0,1,0,0,1,2
100000,0.8,0.7853981633974483,0.1,0.20417085427135678,0.0316227766016838,0.007782808838029437,0.0069613033431805554,0.006010705197578195,153,40,0,28,6,13,0,0,0,2,0,0,0,0,1,1,1,0
100000,0.8,0.7853981633974483,0.1,0.20417085427135678,0.0316227766016838,0.007782808838029437,0.008233642399602212,0.00741466553569865,174,42,2,35,3,14,1,0,0,3,0,0,1,0,1,0,5,4
100000,0.8,0.7853981633974483,0.1,0.20417085427135678,0.0316227766016838,0.007782808838029437,0.008014273596770892,0.0067565591272046865,161,40,2,36,7,10,1,0,0,3,0,0,0,0,0,0,0,5
100000,0.8,0.7853981633974483,0.1,0.20417085427135678,0.0316227766016838,0.007782808838029437,0.007487788469975723,0.006332446108397472,173,42,4,29,4,12,0,0,0,0,0,0,0,0,1,1,0,2
100000,0.8,0.7853981633974483,0.1,0.20417085427135678,0.0316227766016838,0.007782808838029437,0.007985024423060049,0.006785808300915534,161,45,5,26,9,15,1,0,0,1,0,0,0,1,2,0,1,2
100000,0.8,0.7853981633974483,0.1,0.20417085427135678,0.0316227766016838,0.007782808838029437,0.007955775249349206,0.006727309953493845,156,44,2,31,6,15,0,0,0,0,0,0,0,1,2,0,2,3
100000,0.8,0.7853981633974483,0.1,0.20417085427135678,0.0316227766016838,0.007782808838029437,0.007985024423060049,0.006507941150662529,143,53,4,33,1,16,1,0,1,0,0,0,0,0,1,0,1,1
100000,0.8,0.7853981633974483,0.1,0.20417085427135678,0.0316227766016838,0.007782808838029437,0.008102021117903419,0.006712685366638424,160,48,1,30,1,16,0,0,0,3,0,0,0,1,0,0,0,4
100000,0.8,0.7853981633974483,0.1,0.20417085427135678,0.0316227766016838,0.007782808838029437,0.007370791775132352,0.006259323174120359,151,50,2,23,6,11,1,0,0,2,0,0,0,1,0,0,0,4
100000,0.8,0.7853981633974483,0.1,0.20417085427135678,0.0316227766016838,0.007782808838029437,0.009184240545204598,0.0073561671882769655,150,59,3,32,5,13,0,0,1,1,0,0,0,2,0,0,1,7
100000,0.8,0.7853981633974483,0.1,0.20417085427135678,0.0316227766016838,0.007782808838029437,0.008014273596770892,0.0071075492117347976,162,35,0,28,9,18,1,0,1,2,0,0,0,0,2,1,1,6
100000,0.8,0.7853981633974483,0.1,0.20417085427135678,0.0316227766016838,0.007782808838029437,0.007107549211734768,0.006010705197578191,148,43,1,29,2,8,0,0,0,2,0,0,0,2,0,0,0,5
100000,0.8,0.7853981633974483,0.1,0.20417085427135678,0.0316227766016838,0.007782808838029437,0.00811664570475884,0.0074292901225540735,150,44,8,34,3,23,1,1,0,3,0,0,0,0,0,1,0,4
100000,0.8,0.7853981633974483,0.1,0.20417085427135678,0.0316227766016838,0.007782808838029437,0.007458539296264881,0.006259323174120355,157,34,3,27,2,15,2,0,0,1,0,0,0,1,0,2,0,4
100000,0.8,0.7853981633974483,0.1,0.20417085427135678,0.0316227766016838,0.007782808838029437,0.007634034338529936,0.006712685366638422,160,46,2,24,2,14,0,0,2,3,1,0,0,1,1,2,0,4
100000,0.8,0.7853981633974483,0.1,0.20417085427135678,0.0316227766016838,0.007782808838029437,0.007253795080288982,0.006244698587264942,140,55,6,29,2,12,1,0,0,0,0,0,0,0,0,3,0,1
100000,0.8,0.7853981633974483,0.1,0.20417085427135678,0.0316227766016838,0.007782808838029437,0.007677908099096201,0.006815057474626374,178,46,4,25,2,12,0,0,1,2,0,0,1,1,0,0,0,6
100000,0.8,0.7853981633974483,0.1,0.20417085427135678,0.0316227766016838,0.007782808838029437,0.009111117610927491,0.007677908099096239,153,54,1,41,6,17,0,1,0,3,1,0,0,2,0,2,1,1
100000,0.8,0.7853981633974483,0.1,0.20417085427135678,0.0316227766016838,0.007782808838029437,0.00789727690192752,0.0071221737985902225,145,46,2,31,9,18,2,1,1,1,0,0,0,0,0,1,0,5
100000,0.8,0.7853981633974483,0.1,0.20417085427135678,0.0316227766016838,0.007782808838029437,0.007166047559156454,0.005835210155313136,156,37,1,25,1,10,1,0,1,2,0,0,0,0,2,0,0,4
100000,0.8,0.7853981633974483,0.1,0.20417085427135678,0.0316227766016838,0.007782808838029437,0.007911901488782942,0.006581064084939631,142,54,0,31,6,12,1,0,0,1,0,0,0,2,0,1,0,3
100000,0.8,0.7853981633974483,0.1,0.20417085427135678,0.0316227766016838,0.007782808838029437,0.008745502939541959,0.007590160577963711,160,51,3,35,5,18,2,0,0,4,1,0,0,0,2,1,1,2
100000,0.8,0.7853981633974483,0.1,0.20417085427135678,0.0316227766016838,0.007782808838029437,0.008321389920734739,0.006815057474626366,159,33,4,28,7,11,0,1,2,4,0,0,0,2,0,0,0,7
100000,0.8,0.7853981633974483,0.1,0.20417085427135678,0.0316227766016838,0.007782808838029437,0.007824153967650413,0.006581064084939626,149,41,0,32,3,13,1,0,0,2,0,1,0,0,1,0,1,6
100000,0.8,0.7853981633974483,0.1,0.20417085427135678,0.0316227766016838,0.007782808838029437,0.008277516160168476,0.006932054169469741,158,41,2,26,4,19,0,1,0,1,0,0,0,3,0,1,1,5
100000,0.8,0.7853981633974483,0.1,0.20417085427135678,0.0316227766016838,0.007782808838029437,0.00833601450759016,0.00697592793003601,180,38,2,29,4,16,2,0,0,2,0,0,0,1,1,1,0,4
100000,0.8,0.7853981633974483,0.1,0.20417085427135678,0.0316227766016838,0.007782808838029437,0.008072771944192576,0.00685893123519264,165,47,1,26,3,20,1,0,0,1,0,0,0,0,1,1,0,4
100000,0.8,0.7853981633974483,0.1,0.20417085427135678,0.0316227766016838,0.007782808838029437,0.008175144052180526,0.00696130334318059,150,55,2,31,4,16,0,0,0,1,0,0,0,0,1,1,1,4
