n,lmbd,phi,eps,theta_rough,offset,1,11,101,111,1101,1111,11001,11011,11101,11111,110001,110011,110101,110111,111001,111011,111101,111111
100000,0.8,0.7853981633974483,0.1,0.1978391959798995,0.0316227766016838,121,24,1,20,3,10,1,0,2,0,0,0,0,1,0,1,1,3
100000,0.8,0.7853981633974483,0.1,0.20105527638190954,0.0316227766016838,124,39,4,27,5,4,0,0,0,1,0,0,0,1,0,0,2,3
100000,0.8,0.7853981633974483,0.1,0.20175879396984925,0.0316227766016838,140,35,2,20,2,14,0,0,0,1,0,0,0,1,0,1,1,4
100000,0.8,0.7853981633974483,0.1,0.2050753768844221,0.0316227766016838,162,36,0,27,1,17,2,0,0,1,0,0,0,3,1,0,1,4
100000,0.8,0.7853981633974483,0.1,0.20045226130653265,0.0316227766016838,114,29,2,18,1,13,0,0,1,0,0,0,0,0,1,0,0,0
100000,0.8,0.7853981633974483,0.1,0.19984924623115577,0.0316227766016838,127,34,0,30,0,9,0,0,0,4,0,0,0,1,0,1,0,1
100000,0.8,0.7853981633974483,0.1,0.20115577889447236,0.0316227766016838,149,43,1,18,1,11,1,0,0,2,0,0,0,1,0,0,0,4
100000,0.8,0.7853981633974483,0.1,0.1977386934673367,0.0316227766016838,121,38,1,28,2,10,0,0,0,1,0,0,0,0,0,0,0,3
100000,0.8,0.7853981633974483,0.1,0.201356783919598,0.0316227766016838,124,32,2,25,9,19,0,0,0,5,0,0,0,1,0,0,0,6
100000,0.8,0.7853981633974483,0.1,0.198643216080402,0.0316227766016838,104,24,0,19,5,6,0,0,1,1,0,0,0,1,0,0,1,2
100000,0.8,0.7853981633974483,0.1,0.20346733668341707,0.0316227766016838,126,37,3,31,5,14,0,0,1,0,0,0,0,1,0,0,2,4
100000,0.8,0.7853981633974483,0.1,0.19763819095477386,0.0316227766016838,113,25,2,23,4,18,0,1,0,2,0,0,0,1,0,0,0,0
100000,0.8,0.7853981633974483,0.1,0.1978391959798995,0.0316227766016838,115,48,0,26,3,10,1,0,0,2,0,0,0,0,0,0,1,2
100000,0.8,0.7853981633974483,0.1,0.19542713567839196,0.0316227766016838,79,25,1,23,4,10,0,0,0,0,0,0,0,0,0,0,0,1
100000,0.8,0.7853981633974483,0.1,0.1941206030150754,0.0316227766016838,76,27,1,10,1,9,0,0,0,1,0,0,0,0,1,0,0,1
100000,0.8,0.7853981633974483,0.1,0.2008542713567839,0.0316227766016838,131,36,3,34,3,13,1,0,0,2,0,0,0,1,0,1,1,4
100000,0.8,0.7853981633974483,0.1,0.19834170854271357,0.0316227766016838,101,26,1,22,3,13,0,1,0,3,0,0,0,0,0,1,0,3
100000,0.8,0.7853981633974483,0.1,0.20407035175879396,0.0316227766016838,157,34,2,34,5,20,0,0,0,0,0,1,0,0,1,0,0,4
100000,0.8,0.7853981633974483,0.1,0.19954773869346734,0.0316227766016838,107,30,4,20,3,12,0,0,0,0,0,0,0,0,0,0,1,5
100000,0.8,0.7853981633974483,0.1,0.1999497487437186,0.0316227766016838,137,36,3,19,3,13,2,0,0,1,0,0,0,0,0,2,0,4
100000,0.8,0.7853981633974483,0.1,0.20065326633165828,0.0316227766016838,126,38,2,24,6,19,0,0,0,2,0,0,1,2,0,0,1,3
100000,0.8,0.7853981633974483,0.1,0.2028643216080402,0.0316227766016838,146,46,3,37,8,9,1,0,0,1,0,0,0,3,1,0,0,2
100000,0.8,0.7853981633974483,0.1,0.19763819095477386,0.0316227766016838,97,33,0,17,2,15,0,1,0,1,1,0,0,0,1,0,0,2
100000,0.8,0.7853981633974483,0.1,0.1985427135678392,0.0316227766016838,109,35,4,21,1,9,1,0,1,1,0,0,0,0,2,1,0,2
100000,0.8,0.7853981633974483,0.1,0.19874371859296483,0.0316227766016838,120,21,5,23,3,10,0,0,0,3,0,0,0,0,0,0,0,3
100000,0.8,0.7853981633974483,0.1,0.2028643216080402,0.0316227766016838,142,43,3,29,3,13,0,0,0,1,0,0,0,0,0,1,0,2
100000,0.8,0.7853981633974483,0.1,0.19964824120603014,0.0316227766016838,132,37,2,22,7,9,0,0,0,1,0,0,0,1,0,0,2,1
100000,0.8,0.7853981633974483,0.1,0.19814070351758795,0.0316227766016838,104,41,1,11,5,12,1,0,0,1,0,0,0,0,0,1,1,4
100000,0.8,0.7853981633974483,0.1,0.1994472361809045,0.0316227766016838,144,44,1,21,4,7,0,0,0,3,0,0,0,0,1,1,0,6
100000,0.8,0.7853981633974483,0.1,0.19974874371859297,0.0316227766016838,109,41,2,25,4,10,0,0,0,2,0,0,0,1,0,1,0,2
100000,0.8,0.7853981633974483,0.1,0.2000502512562814,0.0316227766016838,142,29,2,25,2,11,0,0,0,2,0,0,0,1,1,1,0,1
100000,0.8,0.7853981633974483,0.1,0.20065326633165828,0.0316227766016838,132,33,0,32,3,11,0,0,0,3,0,0,0,1,1,3,0,6
100000,0.8,0.7853981633974483,0.1,0.1978391959798995,0.0316227766016838,113,29,2,21,3,11,0,0,0,2,0,0,0,1,1,0,0,2
100000,0.8,0.7853981633974483,0.1,0.19914572864321609,0.0316227766016838,118,40,0,24,2,12,1,0,1,4,0,0,0,0,1,1,1,4
100000,0.8,0.7853981633974483,0.1,0.20236180904522613,0.0316227766016838,129,29,2,27,9,17,1,0,1,1,0,0,0,0,0,0,0,3
100000,0.8,0.7853981633974483,0.1,0.20035175879396985,0.0316227766016838,121,42,0,22,3,7,1,0,0,1,0,0,0,0,0,1,0,6
100000,0.8,0.7853981633974483,0.1,0.2035678391959799,0.0316227766016838,160,41,1,36,4,20,2,1,0,0,0,0,0,0,0,0,0,6
100000,0.8,0.7853981633974483,0.1,0.20487437185929647,0.0316227766016838,160,39,3,28,5,16,0,1,0,2,0,0,0,0,1,0,1,3
100000,0.8,0.7853981633974483,0.1,0.20095477386934674,0.0316227766016838,136,23,2,27,4,13,1,0,0,3,0,0,0,0,0,0,0,3
100000,0.8,0.7853981633974483,0.1,0.198643216080402,0.0316227766016838,118,40,0,23,1,11,0,0,0,2,0,0,0,1,0,0,1,2
100000,0.8,0.7853981633974483,0.1,0.19954773869346734,0.0316227766016838,100,37,2,24,2,8,0,0,0,1,0,0,0,0,1,2,2,4
100000,0.8,0.7853981633974483,0.1,0.19884422110552763,0.0316227766016838,109,42,4,23,3,10,0,0,0,5,0,0,0,0,1,0,0,6
100000,0.8,0.7853981633974483,0.1,0.20175879396984925,0.0316227766016838,143,46,1,20,7,12,2,0,0,2,0,0,0,1,0,2,1,2
100000,0.8,0.7853981633974483,0.1,0.1993467336683417,0.0316227766016838,101,37,2,28,1,12,2,0,2,1,0,0,0,0,1,0,1,1
100000,0.8,0.7853981633974483,0.1,0.19793969849246232,0.0316227766016838,93,31,1,32,4,10,1,0,0,1,1,0,0,0,0,1,0,1
100000,0.8,0.7853981633974483,0.1,0.19964824120603014,0.0316227766016838,114,34,1,28,3,11,0,0,0,1,0,0,0,0,0,1,0,1
100000,0.8,0.7853981633974483,0.1,0.19673366834170855,0.0316227766016838,98,24,2,21,4,9,0,0,0,0,0,0,0,1,0,1,0,3
100000,0.8,0.7853981633974483,0.1,0.20155778894472362,0.0316227766016838,134,30,1,20,5,11,1,0,1,4,0,0,1,1,3,0,1,2
100000,0.8,0.7853981633974483,0.1,0.20326633165829144,0.0316227766016838,153,47,6,23,4,19,0,0,0,3,0,0,0,0,0,2,0,5
100000,0.8,0.7853981633974483,0.1,0.19894472361809046,0.0316227766016838,108,29,5,32,5,9,1,0,0,1,0,0,0,1,0,2,1,5
100000,0.8,0.7853981633974483,0.1,0.20417085427135678,0.0316227766016838,151,45,3,26,4,13,0,0,0,2,0,0,0,0,0,0,0,6
100000,0.8,0.7853981633974483,0.1,0.198643216080402,0.0316227766016838,123,35,7,19,2,5,1,0,0,2,0,0,0,0,0,0,0,2
100000,0.8,0.7853981633974483,0.1,0.20386934673366833,0.0316227766016838,156,53,2,22,3,16,0,0,0,2,0,0,0,2,0,0,0,5
100000,0.8,0.7853981633974483,0.1,0.1994472361809045,0.0316227766016838,115,47,1,20,3,11,0,0,0,1,0,0,0,2,1,1,1,2
100000,0.8,0.7853981633974483,0.1,0.20417085427135678,0.0316227766016838,165,41,2,28,2,13,0,0,0,1,0,0,0,0,0,0,1,2
100000,0.8,0.7853981633974483,0.1,0.19703517587939698,0.0316227766016838,107,29,2,18,2,10,0,0,0,2,0,0,0,0,0,0,1,5
100000,0.8,0.7853981633974483,0.1,0.1978391959798995,0.0316227766016838,104,28,2,31,1,9,0,0,0,1,0,0,0,0,0,0,0,6
100000,0.8,0.7853981633974483,0.1,0.1958291457286432,0.0316227766016838,79,17,2,13,2,3,0,0,0,2,0,0,0,1,0,0,0,6
100000,0.8,0.7853981633974483,0.1,0.20045226130653265,0.0316227766016838,114,41,4,22,5,13,0,0,0,2,0,0,0,0,0,1,2,1
100000,0.8,0.7853981633974483,0.1,0.20015075376884423,0.0316227766016838,122,33,6,25,6,10,2,0,0,0,0,0,0,0,0,1,0,4
100000,0.8,0.7853981633974483,0.1,0.19793969849246232,0.0316227766016838,118,29,2,20,2,8,1,0,2,2,0,0,0,0,1,0,0,3
100000,0.8,0.7853981633974483,0.1,0.19924623115577889,0.0316227766016838,97,33,0,21,6,10,0,0,0,0,0,0,0,0,0,0,1,1
100000,0.8,0.7853981633974483,0.1,0.19924623115577889,0.0316227766016838,133,34,3,24,2,6,0,0,0,1,0,0,0,0,1,0,0,1
100000,0.8,0.7853981633974483,0.1,0.1999497487437186,0.0316227766016838,132,34,2,22,3,9,0,0,0,1,0,0,0,1,0,3,1,3
100000,0.8,0.7853981633974483,0.1,0.20336683417085427,0.0316227766016838,161,42,2,29,3,14,0,0,2,2,0,0,0,1,0,0,0,3
100000,0.8,0.7853981633974483,0.1,0.20015075376884423,0.0316227766016838,128,40,1,16,1,16,0,0,0,3,0,0,0,0,0,0,1,2
100000,0.8,0.7853981633974483,0.1,0.20045226130653265,0.0316227766016838,141,28,2,23,0,12,1,0,0,1,0,0,0,0,0,0,0,4
100000,0.8,0.7853981633974483,0.1,0.20055276381909548,0.0316227766016838,122,39,2,21,1,13,1,0,1,1,0,0,0,0,0,1,1,4
100000,0.8,0.7853981633974483,0.1,0.20236180904522613,0.0316227766016838,158,43,0,26,3,13,1,1,0,2,0,0,0,0,1,2,2,9
100000,0.8,0.7853981633974483,0.1,0.1963316582914573,0.0316227766016838,84,23,1,28,5,10,0,0,0,0,0,0,0,0,0,0,0,3
100000,0.8,0.7853981633974483,0.1,0.19904522613065326,0.0316227766016838,116,31,0,19,5,9,0,0,0,1,0,0,0,1,0,0,3,6
100000,0.8,0.7853981633974483,0.1,0.19683417085427135,0.0316227766016838,103,28,1,4,4,7,0,0,0,2,0,0,0,1,0,0,1,4
100000,0.8,0.7853981633974483,0.1,0.20045226130653265,0.0316227766016838,130,42,0,23,3,11,0,0,2,2,0,0,0,1,0,0,1,0
100000,0.8,0.7853981633974483,0.1,0.19824120603015075,0.0316227766016838,123,29,0,26,1,13,1,0,1,0,0,0,0,1,0,1,0,2
100000,0.8,0.7853981633974483,0.1,0.2008542713567839,0.0316227766016838,112,46,4,22,4,8,1,0,0,2,0,0,0,1,1,2,2,3
100000,0.8,0.7853981633974483,0.1,0.20195979899497488,0.0316227766016838,159,40,4,29,3,5,0,0,1,0,0,0,0,0,0,0,1,1
100000,0.8,0.7853981633974483,0.1,0.20678391959798995,0.0316227766016838,170,64,3,35,4,16,2,0,0,1,0,0,0,2,1,1,1,7
